years_before_present,co2_ppm,sigma
27942,189.28,0.12
27984.1,188.99,0.39
28030.2,189.29,0.31
28154.3,189.96,0.64
28271.1,191.82,0.28
28328.6,191.59,0.32
28426.7,192.63,1.67
28470.9,189.16,0.24
28483.9,189.65,0.56
28634.4,193.1,0.05
28683.4,192.82,0.16
28781.3,193.8,0.2
28898.9,193.89,0.34
28959.7,192.69,0.54
29005.6,193.26,0.73
29065.9,192.87,0.49
29207.7,192.26,0.17
29262.3,188.1,0.03
29306.6,192.39,0.97
29380.9,191.01,0.89
29423.1,189.83,0.3
29467.2,189.21,0.66
29666.2,189.24,0.04
29738.2,189.77,0.25
29799.8,191.28,0.27
29894.8,190.97,0.16
30009.1,191.38,1.23
30056,191.57,0.22
30158.5,188.25,0.59
30238.7,188.48,0.62
30334.9,186.52,0.08
30369.7,185.99,0.6
30457.5,184.3,0.3
30585.8,182.94,0.43
30770,187.14,0.2
30832.7,190.33,0.73
31162.2,188,0.06
31413.4,188.48,0.78
31581.1,189.95,0.36
31849.1,193.71,1.23
31875.4,192.93,1.13
31990.9,192.51,0.11
32083.9,193.33,0.43
32136.6,193.91,1.12
32204.5,196.42,0.49
32207.6,196.91,1.31
32364.9,192.47,1.94
32418.2,195.25,0.28
32491.8,194.11,0.53
32568.1,194.61,0.37
32651.6,194.43,0.41
32734.8,195.08,0.29
32771.1,195.94,0.26
32870.1,199.3,2.55
32937.9,196.7,0.8
33066,196.33,0.46
33205.3,197.65,0.22
33474.5,196.9,0.54
33548.4,197.13,0.41
33612.3,197.8,0.27
33815.1,200.03,0.69
33898,195.63,0.74
33942.7,195.27,0.45
33964.5,194.46,0.66
33982.9,194.47,0.03
34014,196.47,0.45
34048.5,195.41,0.33
34121.2,195.93,1.02
34247.3,194.89,0.62
34307.8,195.79,0.76
34369.8,196.27,0.24
34391.4,196.2,0.32
34613.9,199.65,0.74
34659.6,199.49,0.64
34677,200.29,0.43
34704.8,198.89,0.98
34767.6,197.16,1.2
34882.6,202.8,0.03
34923.8,203.09,0.48
35146.6,198.78,0.57
35222.8,203.6,0.36
35338.7,205.38,0.1
35394,204.47,1.22
35416.4,203.62,0.87
35440,201.36,0.26
35502.8,200.3,0.8
35554.1,201.06,1.01
35565.5,202.04,0.9
35587.7,201.89,0.65
35625,201.83,0.99
35729.5,201.81,0.24
35758.6,200.5,0.63
35911.6,203.29,1.07
36005.3,198.8,0.37
36143.5,204.12,1.32
36230.1,201.78,0.23
36318.8,200.09,0.63
36563.3,198.96,0.95
36648.8,205.1,1.14
36726.6,203.77,0.16
36769.8,203.75,0.01
36877.2,202.76,1.16
36996.8,203.51,0.23
37080.4,206.36,1.13
37175.6,210.16,0.89
37200.2,207.35,0.16
37353.5,208.25,0.95
37359,209.66,0.59
37395.1,206.59,0.12
37488,212.51,1.47
37518.3,209.84,0.53
37675.6,214.3,0.4
37704.5,212.14,0.72
37834.2,212.09,1.62
37952,214.21,1.09
38057.3,211.21,0.68
38145.5,214.36,1.48
38222.6,208.34,0.59
38249.4,206.52,0.45
